Kommune; Skattepliktige ; Beregnede skatter og avgifter 
Halden; 25 521 ; 3 119 740 000 
Moss; 40 756 ; 6 018 387 000 
Sarpsborg; 46 017 ; 5 834 862 000 
Fredrikstad; 66 156 ; 8 998 526 000 
Drammen; 81 118 ; 11 890 346 000 
Kongsberg; 22 577 ; 3 583 575 000 
Ringerike; 25 150 ; 3 369 058 000 
Hvaler; 4 007 ; 592 636 000 
Aremark; 1 119 ; 132 928 000 
Marker; 3 081 ; 365 027 000 
Indre Østfold; 36 839 ; 4 690 118 000 
Skiptvet; 3 047 ; 388 468 000 
Rakkestad; 6 842 ; 862 023 000 
Råde; 6 500 ; 855 193 000 
Våler; 4 561 ; 630 614 000 
Vestby; 14 626 ; 2 282 171 000 
Nordre Follo; 47 414 ; 8 681 351 000 
Ås; 16 490 ; 2 471 926 000 
Frogn; 13 026 ; 2 416 385 000 
Nesodden; 15 387 ; 2 665 951 000 
Bærum; 99 229 ; 26 029 014 000 
Asker; 74 981 ; 15 934 809 000 
Aurskog-Høland; 14 146 ; 1 786 221 000 
Rælingen; 14 805 ; 2 425 194 000 
Enebakk; 8 721 ; 1 232 721 000 
Lørenskog; 36 009 ; 5 905 402 000 
Lillestrøm; 71 471 ; 11 416 693 000 
Nittedal; 19 211 ; 3 342 775 000 
Gjerdrum; 5 779 ; 991 539 000 
Ullensaker; 33 296 ; 4 858 677 000 
Nes; 18 892 ; 2 542 875 000 
Eidsvoll; 21 191 ; 2 802 573 000 
Nannestad; 12 146 ; 1 657 876 000 
Hurdal; 2 350 ; 280 234 000 
Hole; 5 428 ; 1 004 356 000 
Flå; 986 ; 126 137 000 
Nesbyen; 2 841 ; 374 569 000 
Gol; 4 104 ; 545 798 000 
Hemsedal; 2 536 ; 353 801 000 
Ål; 4 069 ; 524 642 000 
Hol; 4 110 ; 600 061 000 
Sigdal; 2 892 ; 374 035 000 
Krødsherad; 2 101 ; 249 224 000 
Modum; 11 560 ; 1 442 688 000 
Øvre Eiker; 16 090 ; 2 261 566 000 
Lier; 22 534 ; 3 849 597 000 
Flesberg; 2 226 ; 300 477 000 
Rollag; 1 181 ; 130 181 000 
Nore og Uvdal; 2 109 ; 248 155 000 
Jevnaker; 5 601 ; 723 291 000 
Lunner; 7 388 ; 1 002 171 000 
