Formål (mill. kr);2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Totalt;773773;800163;834411;900624;967188;1042522;1112371;1158698;1215731;1264836;1342889;1429928;1508848;1570624;1635730;1705820;1805768;1963064;2002671;2151437;2347156
Alminnelig offentlig tjenesteyting;88372;87952;97202;120001;132894;131762;122908;122293;123575;121614;125602;132039;138177;137174;141319;147165;159989;163599;163752;187378;243892
Forsvar;30296;30679;29597;34350;36521;39025;39543;37705;42212;39972;41614;45095;47501;48429;55555;60362;67179;68993;72164;80443;90733
Offentlig orden og trygghet;17758;18187;17619;18833;19741;21283;23059;24392;25702;27113;30079;31963;33166;35930;37815;40683;43433;43777;44963;49403;51787
Næringsøkonomiske formål;70833;71200;77073;79585;87229;100578;112453;118817;124215;131588;144329;157505;164101;172724;181023;191282;206800;273986;240280;272712;276224
Miljøvern;8916;10682;11197;11828;12840;16070;19521;21128;21973;22410;24216;25585;27036;28247;29192;30722;32576;36135;38950;44734;47723
Bolig og nærmiljø;11751;11285;10855;12075;12185;13889;14695;15714;16564;16901;19058;21290;23140;25570;25587;27524;28998;30736;29803;35140;39885
Helse;130154;135089;142106;150002;158442;167904;177474;186388;195114;206914;221055;237234;250097;260318;270455;283782;302698;320964;353322;373230;397960
Fritid, kultur og religion;21821;23266;24121;25489;30653;34488;39050;39770;41939;42823;45452;47508;49029;52192;56060;58365;63195;65632;69012;70564;73716
Utdanning;99083;100558;103365;108646;113758;121437;131006;135806;139621;144271;150141;160392;169455;174430;183168;190884;198824;200891;207338;220622;233928
Sosial beskyttelse;294788;311265;321276;339813;362924;396086;432663;456685;484817;511230;541345;571316;607147;635611;655557;675051;702077;758349;783086;817211;891308
