Dato;Nedbør m.m.pr døgn
01.01.2015;0
02.01.2015;0
03.01.2015;0
04.01.2015;0
05.01.2015;0
06.01.2015;0,7
07.01.2015;3,2
08.01.2015;2,8
09.01.2015;0
10.01.2015;1,3
11.01.2015;12
12.01.2015;3,5
13.01.2015;0,2
14.01.2015;0
15.01.2015;0,5
16.01.2015;19,7
17.01.2015;0,4
18.01.2015;0
19.01.2015;0,3
20.01.2015;2,9
21.01.2015;1
22.01.2015;0
23.01.2015;0
24.01.2015;1,6
25.01.2015;2,5
26.01.2015;2,9
27.01.2015;3,5
28.01.2015;0,9
29.01.2015;0,2
30.01.2015;0
31.01.2015;0
01.02.2015;0
02.02.2015;0
03.02.2015;0
04.02.2015;0
05.02.2015;0
06.02.2015;0
07.02.2015;0
08.02.2015;0
09.02.2015;0
10.02.2015;0
11.02.2015;0
12.02.2015;0
13.02.2015;0
14.02.2015;0
15.02.2015;0
16.02.2015;0
17.02.2015;0
18.02.2015;0,1
19.02.2015;0
20.02.2015;0
21.02.2015;0
22.02.2015;0
23.02.2015;5,8
24.02.2015;8,2
25.02.2015;10
26.02.2015;0
27.02.2015;3,7
28.02.2015;1,1
01.03.2015;4,7
02.03.2015;8,2
03.03.2015;0,3
04.03.2015;0
05.03.2015;0
06.03.2015;0
07.03.2015;0
08.03.2015;0
09.03.2015;0
10.03.2015;0
11.03.2015;0,1
12.03.2015;0
13.03.2015;0
14.03.2015;0
15.03.2015;0
16.03.2015;0
17.03.2015;0
18.03.2015;0
19.03.2015;4,1
20.03.2015;0,9
21.03.2015;1,9
22.03.2015;0
23.03.2015;0,9
24.03.2015;0,1
25.03.2015;0
26.03.2015;6,9
27.03.2015;19,5
28.03.2015;0,1
29.03.2015;5,4
30.03.2015;5,3
31.03.2015;2
01.04.2015;0
02.04.2015;0
03.04.2015;0
04.04.2015;0
05.04.2015;0
06.04.2015;0
07.04.2015;0
08.04.2015;0
09.04.2015;0
10.04.2015;0
11.04.2015;0
12.04.2015;1,8
13.04.2015;0
14.04.2015;0
15.04.2015;1,5
16.04.2015;0,4
17.04.2015;0
18.04.2015;0
19.04.2015;0
20.04.2015;0
21.04.2015;0
22.04.2015;0
23.04.2015;0
24.04.2015;0
25.04.2015;0,2
26.04.2015;3,8
27.04.2015;0,1
28.04.2015;0
29.04.2015;1,2
30.04.2015;4,5
01.05.2015;0
02.05.2015;0
03.05.2015;0
04.05.2015;0
05.05.2015;5,1
06.05.2015;16,6
07.05.2015;6,6
08.05.2015;3
09.05.2015;0
10.05.2015;12,9
11.05.2015;0,8
12.05.2015;3,4
13.05.2015;12,3
14.05.2015;0,3
15.05.2015;0
16.05.2015;0
17.05.2015;5
18.05.2015;0
19.05.2015;1
20.05.2015;5,4
21.05.2015;0
22.05.2015;0,8
23.05.2015;0,2
24.05.2015;0
25.05.2015;7,2
26.05.2015;1,4
27.05.2015;0,1
