Alder	;	Menn	;	Kvinner
0 år	;	96	;	73
1 år	;	90	;	102
2 år	;	114	;	120
3 år	;	98	;	118
4 år	;	130	;	118
5 år	;	131	;	139
6 år	;	132	;	103
7 år	;	155	;	134
8 år	;	157	;	151
9 år	;	155	;	115
10 år	;	180	;	123
11 år	;	145	;	135
12 år	;	152	;	144
13 år	;	155	;	141
14 år	;	127	;	125
15 år	;	140	;	166
16 år	;	133	;	112
17 år	;	142	;	140
18 år	;	118	;	122
19 år	;	138	;	115
20 år	;	123	;	102
21 år	;	107	;	96
22 år	;	103	;	80
23 år	;	111	;	86
24 år	;	73	;	69
25 år	;	74	;	73
26 år	;	77	;	65
27 år	;	97	;	74
28 år	;	79	;	74
29 år	;	89	;	69
30 år	;	77	;	101
31 år	;	78	;	100
32 år	;	102	;	86
33 år	;	117	;	135
34 år	;	116	;	126
35 år	;	120	;	124
36 år	;	120	;	126
37 år	;	128	;	150
38 år	;	129	;	154
39 år	;	144	;	158
40 år	;	135	;	164
41 år	;	151	;	168
42 år	;	141	;	161
43 år	;	148	;	143
44 år	;	146	;	168
45 år	;	161	;	179
46 år	;	154	;	155
47 år	;	130	;	147
48 år	;	141	;	159
49 år	;	177	;	169
50 år	;	132	;	160
51 år	;	159	;	143
52 år	;	150	;	153
53 år	;	129	;	167
54 år	;	148	;	151
55 år	;	158	;	128
56 år	;	141	;	140
57 år	;	149	;	164
58 år	;	156	;	175
59 år	;	128	;	147
60 år	;	134	;	149
61 år	;	116	;	129
62 år	;	138	;	142
63 år	;	121	;	138
64 år	;	136	;	123
65 år	;	128	;	121
66 år	;	124	;	126
67 år	;	100	;	120
68 år	;	104	;	134
69 år	;	118	;	118
70 år	;	92	;	117
71 år	;	92	;	117
72 år	;	95	;	103
73 år	;	87	;	75
74 år	;	85	;	101
75 år	;	90	;	98
76 år	;	104	;	87
77 år	;	85	;	96
78 år	;	72	;	60
79 år	;	58	;	77
80 år	;	56	;	67
81 år	;	47	;	54
82 år	;	26	;	51
83 år	;	39	;	39
84 år	;	35	;	40
85 år	;	28	;	39
86 år	;	27	;	41
87 år	;	14	;	26
88 år	;	14	;	21
89 år	;	9	;	22
90 år	;	10	;	20
91 år	;	4	;	21
92 år	;	10	;	15
93 år	;	4	;	19
94 år	;	2	;	8
95 år	;	2	;	3
96 år	;	1	;	4
97 år	;	3	;	5
98 år	;	1	;	6
99 år	;	1	;	1
100 år	;	1	;	1
101 år	;	0	;	0
102 år	;	0	;	1
103 år	;	0	;	1
104 år	;	0	;	0
105 år eller eldre	;	0	;	1
